1.3980 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
86.3387 	EXP 	fixation: autoDraw = True
87.3391 	EXP 	fixation: autoDraw = False
87.3391 	EXP 	grating: autoDraw = True
87.6429 	EXP 	grating: autoDraw = False
88.0472 	EXP 	New trial (rep=40, index=0): None
88.0500 	DATA 	Keypress: up
88.0592 	EXP 	fixation: autoDraw = False
88.0592 	EXP 	grating: autoDraw = False
88.0592 	EXP 	grating: ori = 4.0
88.0592 	EXP 	fixation: autoDraw = True
89.0595 	EXP 	fixation: autoDraw = False
89.0595 	EXP 	grating: autoDraw = True
89.3766 	EXP 	grating: autoDraw = False
89.8467 	EXP 	New trial (rep=41, index=0): None
89.8495 	DATA 	Keypress: down
89.8590 	EXP 	fixation: autoDraw = False
89.8590 	EXP 	grating: autoDraw = False
89.8590 	EXP 	grating: ori = 1.0
89.8590 	EXP 	fixation: autoDraw = True
90.8595 	EXP 	fixation: autoDraw = False
90.8595 	EXP 	grating: autoDraw = True
91.1761 	EXP 	grating: autoDraw = False
91.3972 	EXP 	New trial (rep=42, index=0): None
91.3996 	DATA 	Keypress: up
91.4053 	EXP 	fixation: autoDraw = False
91.4053 	EXP 	grating: autoDraw = False
91.4053 	EXP 	grating: ori = 3.0
91.4053 	EXP 	fixation: autoDraw = True
92.4057 	EXP 	fixation: autoDraw = False
92.4057 	EXP 	grating: autoDraw = True
92.7093 	EXP 	grating: autoDraw = False
93.0465 	EXP 	New trial (rep=43, index=0): None
93.0491 	DATA 	Keypress: down
93.0592 	EXP 	fixation: autoDraw = False
93.0592 	EXP 	grating: autoDraw = False
93.0592 	EXP 	grating: ori = 0.0
93.0592 	EXP 	fixation: autoDraw = True
94.0592 	EXP 	fixation: autoDraw = False
94.0592 	EXP 	grating: autoDraw = True
94.3762 	EXP 	grating: autoDraw = False
94.5604 	EXP 	New trial (rep=44, index=0): None
94.5630 	DATA 	Keypress: up
94.5773 	EXP 	fixation: autoDraw = False
94.5773 	EXP 	grating: autoDraw = False
94.5773 	EXP 	grating: ori = 0.0
94.5773 	EXP 	fixation: autoDraw = True
95.5765 	EXP 	grating: autoDraw = True
95.5929 	EXP 	fixation: autoDraw = False
95.8725 	EXP 	grating: autoDraw = False
96.3805 	EXP 	New trial (rep=45, index=0): None
96.3832 	DATA 	Keypress: up
96.3924 	EXP 	fixation: autoDraw = False
96.3924 	EXP 	grating: autoDraw = False
96.3924 	EXP 	grating: ori = 4.0
96.3924 	EXP 	fixation: autoDraw = True
97.3929 	EXP 	fixation: autoDraw = False
97.3929 	EXP 	grating: autoDraw = True
97.7097 	EXP 	grating: autoDraw = False
97.8478 	EXP 	New trial (rep=46, index=0): None
97.8505 	DATA 	Keypress: down
97.8596 	EXP 	fixation: autoDraw = False
97.8596 	EXP 	grating: autoDraw = False
97.8596 	EXP 	grating: ori = 0.0
97.8596 	EXP 	fixation: autoDraw = True
98.8598 	EXP 	fixation: autoDraw = False
98.8598 	EXP 	grating: autoDraw = True
99.1758 	EXP 	grating: autoDraw = False
99.8275 	EXP 	New trial (rep=47, index=0): None
99.8302 	DATA 	Keypress: up
99.8435 	EXP 	fixation: autoDraw = False
99.8435 	EXP 	grating: autoDraw = False
99.8435 	EXP 	grating: ori = 4.0
99.8435 	EXP 	fixation: autoDraw = True
100.8438 	EXP 	grating: autoDraw = True
100.8600 	EXP 	fixation: autoDraw = False
101.1393 	EXP 	grating: autoDraw = False
101.5307 	EXP 	New trial (rep=48, index=0): None
101.5335 	DATA 	Keypress: down
101.5389 	EXP 	fixation: autoDraw = False
101.5389 	EXP 	grating: autoDraw = False
101.5389 	EXP 	grating: ori = 4.0
101.5389 	EXP 	fixation: autoDraw = True
102.5393 	EXP 	fixation: autoDraw = False
102.5393 	EXP 	grating: autoDraw = True
102.8438 	EXP 	grating: autoDraw = False
103.3305 	EXP 	New trial (rep=49, index=0): None
103.3330 	DATA 	Keypress: down
103.3388 	EXP 	fixation: autoDraw = False
103.3388 	EXP 	grating: autoDraw = False
